AirportID,Year,Month,Day,Time,TimeZone,SkyCondition,Visibility,WeatherType,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,ValueForWindCharacter,StationPressure,PressureTendency,PressureChange,SeaLevelPressure,RecordType,HourlyPrecip,Altimeter
14843,2013,4,1,1556,-4,FEW045 SCT065 SCT120,10, ,85,29.4,74,23,68,20,57,20,90,26,30.02, , ,30.02,AA, ,30.03
14843,2013,4,1,1656,-4,FEW033 SCT048 SCT055,10, ,83,28.3,73,22.7,68,20,61,15,90,28,30.02,5,8,30.03,AA, ,30.03
14843,2013,4,1,1756,-4,FEW039 SCT085 SCT120,10, ,81,27.2,73,22.7,69,20.6,67,18,80,23,30.03, , ,30.03,AA, ,30.04
14843,2013,4,1,1856,-4,FEW025 SCT049 SCT070,10, ,80,26.7,73,22.5,69,20.6,69,11,110,21,30.05, , ,30.05,AA, ,30.06
14843,2013,4,1,1956,-4,FEW049 SCT060,10, ,78,25.6,71,21.8,68,20,71,11,90, ,30.06,3,11,30.06,AA, ,30.07
14843,2013,4,1,2056,-4,FEW049 SCT070,10, ,78,25.6,73,22.5,70,21.1,77,9,90, ,30.07, , ,30.07,AA, ,30.08
14843,2013,4,1,2156,-4,FEW039 SCT070,8,-RA,77,25,73,22.7,71,21.7,82,10,90, ,30.08, , ,30.09,AA,0.01,30.09
14843,2013,4,1,2256,-4,FEW034,10, ,77,25,74,23.1,72,22.2,85,9,90, ,30.08,0,8,30.08,AA,  T,30.09
14843,2013,4,1,2356,-4,FEW075,10, ,76,24.4,73,22.5,71,21.7,85,7,90, ,30.06, , ,30.07,AA, ,30.07
14843,2013,4,2,56,-4,CLR,10, ,76,24.4,73,22.5,71,21.7,85,9,80, ,30.05, , ,30.05,AA, ,30.06
14843,2013,4,2,156,-4,FEW036,10, ,77,25,72,22.4,70,21.1,79,9,100, ,30.03,8,17,30.03,AA, ,30.04
14843,2013,4,2,256,-4,FEW038,10, ,76,24.4,72,22.2,70,21.1,82,5,110, ,30.02, , ,30.03,AA, ,30.03
14843,2013,4,2,356,-4,FEW035,10, ,75,23.9,72,22,70,21.1,85,6,100, ,30.02, , ,30.02,AA, ,30.03
14843,2013,4,2,456,-4,FEW026,10, ,75,23.9,71,21.6,69,20.6,82,3,110, ,30.01,6,5,30.02,AA, ,30.02
14843,2013,4,2,556,-4,SCT030,10, ,76,24.4,71,21.8,69,20.6,79,8,100, ,30.03, , ,30.03,AA, ,30.04
14843,2013,4,2,656,-4,SCT030,10, ,75,23.9,70,21.3,68,20,79,0,0, ,30.04, , ,30.04,AA, ,30.05
14843,2013,4,2,756,-4,FEW032,10, ,79,26.1,72,22.4,69,20.6,72,10,100, ,30.05,1,13,30.06,AA, ,30.06
14843,2013,4,2,856,-4,FEW032 SCT048,10, ,83,28.3,74,23,69,20.6,63,8,110, ,30.06, , ,30.06,AA, ,30.07
14843,2013,4,2,956,-4,FEW038,10, ,85,29.4,73,22.7,67,19.4,55,9,130,18,30.05, , ,30.06,AA, ,30.06
14843,2013,4,2,1056,-4,FEW042,10, ,88,31.1,74,23.2,67,19.4,50,11,150,18,30.05,8,2,30.05,AA, ,30.06
14843,2013,4,2,1156,-4,SCT040,10, ,89,31.7,75,23.7,68,20,50,13,160,21,30.03, , ,30.03,AA, ,30.04
14843,2013,4,2,1256,-4,FEW045,10, ,89,31.7,74,23.4,67,19.4,48,13,130,22,30, , ,30.01,AA, ,30.01
14843,2013,4,2,1356,-4,FEW045,10, ,89,31.7,74,23,66,18.9,47,13,120,23,29.99,8,20,29.99,AA, ,30
14843,2013,4,2,1456,-4,SCT035,10, ,89,31.7,72,22.1,63,17.2,42,10,170,21,29.98, , ,29.98,AA, ,29.99
14843,2013,4,2,1556,-4,SCT038,10, ,89,31.7,72,22.4,64,17.8,44,14,150,21,29.98, , ,29.98,AA, ,29.99
14843,2013,4,2,1656,-4,SCT042,10, ,87,30.6,73,22.7,66,18.9,50,8,170, ,29.98,5,2,29.99,AA, ,29.99
14843,2013,4,2,1756,-4,FEW033 SCT120,10, ,85,29.4,72,22.4,66,18.9,53,9,150, ,29.98, , ,29.99,AA, ,29.99
14843,2013,4,2,1856,-4,FEW032 SCT120,10, ,83,28.3,73,22.7,68,20,61,8,150,20,30, , ,30.01,AA, ,30.01
14843,2013,4,2,1956,-4,CLR,10, ,81,27.2,72,22.4,68,20,65,5,180, ,30.02,3,13,30.03,AA, ,30.03
14843,2013,4,2,2056,-4,FEW030,10, ,79,26.1,72,22,68,20,69,0,0, ,30.04, , ,30.04,AA,0.01,30.05
14843,2013,4,2,2156,-4,CLR,10, ,78,25.6,73,22.5,70,21.1,77,3,60, ,30.06, , ,30.06,AA, ,30.07
14843,2013,4,2,2256,-4,FEW022,10, ,79,26.1,72,22,68,20,69,3,100, ,30.06,1,13,30.06,AA, ,30.07
14843,2013,4,2,2356,-4,FEW018,10, ,78,25.6,71,21.8,68,20,71,0,0, ,30.05, , ,30.06,AA, ,30.06
14843,2013,4,3,56,-4,CLR,10, ,78,25.6,72,22.2,69,20.6,74,0,0, ,30.03, , ,30.04,AA, ,30.04
14843,2013,4,3,156,-4,CLR,10, ,76,24.4,71,21.8,69,20.6,79,0,0, ,30.01,8,18,30.01,AA, ,30.02
14843,2013,4,3,256,-4,FEW050,10, ,76,24.4,72,22.2,70,21.1,82,3,230, ,30, , ,30.01,AA, ,30.01
14843,2013,4,3,356,-4,FEW050,10, ,76,24.4,72,22.2,70,21.1,82,0,0, ,30, , ,30.01,AA, ,30.01
14843,2013,4,3,456,-4,FEW050,10, ,76,24.4,72,22.2,70,21.1,82,0,0, ,30.01,3,0,30.01,AA, ,30.02
14843,2013,4,3,556,-4,SCT040,10, ,76,24.4,72,22.2,70,21.1,82,3,200, ,30.02, , ,30.03,AA, ,30.03
14843,2013,4,3,656,-4,FEW040,10, ,76,24.4,72,22.2,70,21.1,82,0,0, ,30.04, , ,30.04,AA, ,30.05
14843,2013,4,3,756,-4,FEW040,10, ,80,26.7,73,22.5,69,20.6,69,0,0, ,30.06,3,18,30.06,AA, ,30.07
14843,2013,4,3,856,-4,FEW040,10, ,83,28.3,73,22.7,68,20,61,0,0, ,30.07, , ,30.08,AA, ,30.08
14843,2013,4,3,956,-4,FEW040,10, ,86,30,74,23.5,69,20.6,57,8,100, ,30.07, , ,30.07,AA, ,30.08
14843,2013,4,3,1056,-4,FEW040,10, ,88,31.1,74,23.2,67,19.4,50,0,0, ,30.06,0,0,30.06,AA, ,30.07
14843,2013,4,3,1156,-4,FEW042,10, ,86,30,76,24.2,71,21.7,61,11,50, ,30.04, , ,30.05,AA, ,30.05
14843,2013,4,3,1256,-4,FEW042 SCT055,10, ,86,30,76,24.2,71,21.7,61,15,60, ,30.02, , ,30.02,AA, ,30.03
14843,2013,4,3,1356,-4,FEW042 SCT050 SCT090,10, ,89,31.7,78,25.4,73,22.8,59,20,70, ,29.99,8,22,30,AA, ,30
14843,2013,4,3,1456,-4,SCT042,10, ,88,31.1,77,25.2,73,22.8,61,16,70, ,29.98, , ,29.98,AA, ,29.99
14843,2013,4,3,1556,-4,FEW039,10, ,87,30.6,75,23.7,69,20.6,55,16,70, ,29.96, , ,29.97,AA, ,29.97
14843,2013,4,3,1656,-4,FEW037,10, ,85,29.4,76,24.4,72,22.2,65,20,70, ,29.97,5,10,29.97,AA, ,29.98
14843,2013,4,3,1756,-4,SCT043,10, ,83,28.3,75,23.7,71,21.7,67,10,90, ,29.97, , ,29.98,AA, ,29.98
14843,2013,4,3,1856,-4,SCT040 SCT050,10, ,81,27.2,74,23.4,71,21.7,72,7,120, ,29.99, , ,30,AA, ,30
14843,2013,4,3,1956,-4,SCT028 SCT040,10, ,79,26.1,74,23.1,71,21.7,77,11,80, ,30.01,3,16,30.02,AA, ,30.02
14843,2013,4,3,2056,-4,FEW040,10, ,79,26.1,74,23.1,71,21.7,77,8,100, ,30.03, , ,30.03,AA, ,30.04
14843,2013,4,3,2156,-4,FEW038,10, ,79,26.1,74,23.1,71,21.7,77,5,120, ,30.04, , ,30.05,AA, ,30.05
14843,2013,4,3,2256,-4,CLR,10, ,76,24.4,72,22.2,70,21.1,82,5,70, ,30.05,1,14,30.06,AA, ,30.06
14843,2013,4,3,2356,-4,FEW065,10, ,77,25,73,22.7,71,21.7,82,3,100, ,30.05, , ,30.05,AA, ,30.06
14843,2013,4,4,56,-4,CLR,10, ,77,25,72,22.4,70,21.1,79,0,0, ,30.03, , ,30.03,AA, ,30.04
14843,2013,4,4,156,-4,FEW022,10, ,77,25,72,22,69,20.6,76,0,0, ,30.03,6,10,30.03,AA, ,30.04
14843,2013,4,4,256,-4,CLR,10, ,76,24.4,71,21.5,68,20,76,0,0, ,30.01, , ,30.02,AA, ,30.02
14843,2013,4,4,356,-4,FEW040,10, ,75,23.9,71,21.6,69,20.6,82,0,0, ,30.01, , ,30.01,AA, ,30.02
14843,2013,4,4,456,-4,FEW045,10, ,75,23.9,71,21.6,69,20.6,82,0,0, ,30.02,5,3,30.02,AA, ,30.03
14843,2013,4,4,556,-4,FEW024,10, ,75,23.9,71,21.6,69,20.6,82,0,0, ,30.04, , ,30.04,AA, ,30.05
14843,2013,4,4,656,-4,FEW043 SCT080,10, ,76,24.4,71,21.8,69,20.6,79,0,0, ,30.05, , ,30.06,AA, ,30.06
14843,2013,4,4,756,-4,FEW045 SCT080,10, ,79,26.1,74,23.1,71,21.7,77,7,VR , ,30.07,1,18,30.08,AA, ,30.08
14843,2013,4,4,856,-4,FEW045 SCT080,10, ,83,28.3,75,23.7,71,21.7,67,10,90, ,30.09, , ,30.09,AA, ,30.1
14843,2013,4,4,956,-4,FEW022 SCT055,10, ,85,29.4,75,24.1,71,21.7,63,14,70,20,30.09, , ,30.09,AA, ,30.1
14843,2013,4,4,1056,-4,FEW032 SCT045,10, ,87,30.6,76,24.4,71,21.7,59,16,60, ,30.08,0,4,30.09,AA, ,30.09
14843,2013,4,4,1156,-4,FEW034 SCT050,10, ,87,30.6,76,24.4,71,21.7,59,21,60,26,30.07, , ,30.08,AA, ,30.08
14843,2013,4,4,1256,-4,FEW034 SCT050,10, ,87,30.6,76,24.4,71,21.7,59,21,70, ,30.05, , ,30.06,AA, ,30.06
14843,2013,4,4,1356,-4,FEW036 SCT055,10, ,86,30,76,24.6,72,22.2,63,20,60,32,30.03,8,18,30.03,AA, ,30.04
14843,2013,4,4,1456,-4,FEW038 SCT055,10, ,85,29.4,75,24,71,21.7,63,22,60,29,30.02, , ,30.02,AA, ,30.03
14843,2013,4,4,1556,-4,FEW033,10, ,85,29.4,75,24,71,21.7,63,17,70,26,30, , ,30.01,AA, ,30.01
14843,2013,4,4,1656,-4,FEW023 SCT030,10, ,83,28.3,74,23.4,70,21.1,65,16,80, ,30,5,9,30.01,AA, ,30.01
14843,2013,4,4,1756,-4,FEW026,10, ,81,27.2,74,23,70,21.1,69,20,80, ,30.01, , ,30.01,AA, ,30.02
14843,2013,4,4,1856,-4,FEW024,10, ,79,26.1,72,22.4,69,20.6,72,16,90, ,30.02, , ,30.02,AA, ,30.03
14843,2013,4,4,1956,-4,FEW024,10, ,78,25.6,71,21.8,68,20,71,14,80, ,30.03,3,10,30.03,AA, ,30.04
14843,2013,4,4,2056,-4,FEW024,10, ,78,25.6,73,22.5,70,21.1,77,9,90, ,30.05, , ,30.06,AA, ,30.06
14843,2013,4,4,2156,-4,FEW022,10, ,77,25,72,22.4,70,21.1,79,10,80, ,30.06, , ,30.07,AA, ,30.07
14843,2013,4,4,2256,-4,FEW024,10, ,77,25,71,21.7,68,20,74,9,90, ,30.06,1,11,30.07,AA, ,30.07
14843,2013,4,4,2356,-4,FEW032,10, ,77,25,71,21.7,68,20,74,5,100, ,30.06, , ,30.06,AA,0.01,30.07
14843,2013,4,5,56,-4,FEW026,10, ,77,25,71,21.7,68,20,74,5,120, ,30.04, , ,30.05,AA,0.01,30.05
14843,2013,4,5,156,-4,FEW023,10, ,76,24.4,71,21.5,68,20,76,6,100, ,30.01,8,17,30.02,AA,0.02,30.02
14843,2013,4,5,256,-4,SCT023 BKN033,10, ,76,24.4,72,22.2,70,21.1,82,7,90, ,29.99, , ,30,AA,0.02,30
